Status, Date, Latitude, Longitude, Count
1, 3/13/2020, 42.779, -71.168, 1
1, 3/13/2020, 42.564, -71.168, 1
1, 3/13/2020, 42.426, -71.168, 2
1, 3/13/2020, 42.303, -71.168, 1
1, 3/13/2020, 42.15, -71.168, 1
1, 3/13/2020, 42.104, -71.168, 1
1, 3/13/2020, 42.395, -71.147, 1
1, 3/13/2020, 42.364, -71.147, 1
1, 3/13/2020, 42.334, -71.147, 1
1, 3/13/2020, 42.318, -71.147, 1
1, 3/13/2020, 42.395, -71.127, 1
1, 3/13/2020, 42.38, -71.127, 1
1, 3/13/2020, 42.364, -71.127, 3
1, 3/13/2020, 42.349, -71.127, 1
1, 3/13/2020, 41.781, -71.127, 1
1, 3/13/2020, 42.687, -71.106, 1
1, 3/13/2020, 42.579, -71.106, 1
1, 3/13/2020, 42.364, -71.106, 1
1, 3/13/2020, 42.349, -71.106, 1
1, 3/13/2020, 42.196, -71.106, 1
1, 3/13/2020, 42.426, -71.086, 1
1, 3/13/2020, 42.395, -71.086, 1
1, 3/13/2020, 42.38, -71.086, 4
1, 3/13/2020, 42.288, -71.086, 1
1, 3/13/2020, 42.426, -71.065, 1
1, 3/13/2020, 42.41, -71.065, 1
1, 3/13/2020, 42.364, -71.065, 1
1, 3/13/2020, 42.318, -71.065, 1
1, 3/13/2020, 42.364, -71.045, 1
1, 3/13/2020, 41.843, -71.045, 1
1, 3/13/2020, 42.457, -71.024, 1
1, 3/13/2020, 42.349, -71.024, 1
1, 3/13/2020, 41.873, -71.004, 1
1, 3/13/2020, 42.717, -70.983, 2
1, 3/13/2020, 42.687, -70.983, 1
1, 3/13/2020, 41.904, -70.963, 1
1, 3/13/2020, 42.487, -70.942, 4
1, 3/13/2020, 41.889, -70.942, 1
1, 3/13/2020, 41.873, -70.942, 1
1, 3/13/2020, 42.518, -70.901, 1
1, 3/13/2020, 41.965, -70.798, 1
1, 3/13/2020, 41.919, -70.778, 1
1, 3/13/2020, 41.72, -70.142, 1
1, 3/14/2020, 42.38, -73.384, 2
1, 3/14/2020, 42.364, -73.384, 1
1, 3/14/2020, 42.61, -73.301, 1
1, 3/14/2020, 42.549, -73.219, 1
1, 3/14/2020, 42.134, -72.604, 1
1, 3/14/2020, 42.119, -72.604, 2
1, 3/14/2020, 42.104, -72.604, 1
1, 3/14/2020, 42.334, -71.947, 1
1, 3/14/2020, 42.318, -71.927, 2
1, 3/14/2020, 42.303, -71.927, 1
1, 3/14/2020, 42.318, -71.906, 1
1, 3/14/2020, 42.395, -71.886, 1
1, 3/14/2020, 42.303, -71.845, 1
1, 3/14/2020, 42.334, -71.824, 1
1, 3/14/2020, 42.303, -71.804, 4
1, 3/14/2020, 42.472, -71.783, 1
1, 3/14/2020, 42.595, -71.64, 1
1, 3/14/2020, 42.625, -71.599, 1
1, 3/14/2020, 42.625, -71.578, 1
1, 3/14/2020, 42.963, -71.558, 1
1, 3/14/2020, 42.963, -71.537, 2
1, 3/14/2020, 42.687, -71.537, 1
1, 3/14/2020, 42.518, -71.537, 1
1, 3/14/2020, 42.595, -71.517, 1
1, 3/14/2020, 42.503, -71.517, 1
1, 3/14/2020, 42.318, -71.517, 1
